"MonthYear","Records"
"1-1985",300955
"2-1985",278130
"3-1985",307665
"4-1985",298732
"5-1985",314496
"6-1985",305428
"7-1985",330560
"8-1985",333851
"9-1985",328419
"10-1985",320085
"11-1985",298341
"12-1985",307827
"1-1986",303023
"2-1986",279094
"3-1986",309253
"4-1986",300861
"5-1986",312877
"6-1986",304425
"7-1986",331646
"8-1986",331023
"9-1986",331313
"10-1986",315979
"11-1986",289749
"12-1986",309551
"1-1987",301771
"2-1987",280001
"3-1987",314156
"4-1987",304190
"5-1987",316477
"6-1987",317857
"7-1987",333279
"8-1987",328299
"9-1987",331017
"10-1987",323163
"11-1987",302905
"12-1987",317024
"1-1988",306881
"2-1988",294790
"3-1988",318630
"4-1988",305777
"5-1988",322442
"6-1988",325613
"7-1988",343503
"8-1988",351203
"9-1988",343779
"10-1988",328108
"11-1988",311044
"12-1988",318654
"1-1989",320422
"2-1989",300391
"3-1989",339912
"4-1989",318779
"5-1989",336320
"6-1989",338973
"7-1989",356716
"8-1989",366579
"9-1989",357344
"10-1989",344161
"11-1989",325543
"12-1989",335818
"1-1990",335274
"2-1990",312611
"3-1990",350614
"4-1990",336382
"5-1990",354114
"6-1990",347355
"7-1990",367670
"8-1990",372516
"9-1990",358682
"10-1990",353166
"11-1990",333146
"12-1990",336682
"1-1991",335172
"2-1991",309130
"3-1991",344079
"4-1991",335626
"5-1991",353131
"6-1991",334265
"7-1991",362913
"8-1991",366786
"9-1991",356016
"10-1991",348934
"11-1991",323635
"12-1991",341220
"1-1992",334045
"2-1992",315448
"3-1992",339518
"4-1992",333373
"5-1992",344137
"6-1992",339664
"7-1992",359112
"8-1992",348949
"9-1992",347547
"10-1992",343546
"11-1992",321943
"12-1992",337732
"1-1993",323073
"2-1993",304656
"3-1993",342187
"4-1993",327042
"5-1993",335989
"6-1993",335349
"7-1993",352554
"8-1993",350898
"9-1993",348013
"10-1993",332937
"11-1993",316379
"12-1993",331163
"1-1994",320700
"2-1994",301325
"3-1994",339734
"4-1994",317387
"5-1994",330294
"6-1994",329736
"7-1994",345859
"8-1994",352171
"9-1994",339219
"10-1994",330168
"11-1994",319395
"12-1994",326743
"1-1995",316011
"2-1995",295094
"3-1995",328502
"4-1995",309117
"5-1995",334541
"6-1995",329800
"7-1995",340872
"8-1995",350734
"9-1995",339100
"10-1995",330011
"11-1995",310815
"12-1995",314969
"1-1996",314283
"2-1996",301763
"3-1996",322581
"4-1996",312595
"5-1996",325708
"6-1996",318525
"7-1996",345162
"8-1996",346317
"9-1996",336348
"10-1996",336346
"11-1996",309397
"12-1996",322469
"1-1997",317211
"2-1997",291541
"3-1997",321212
"4-1997",314230
"5-1997",330331
"6-1997",321867
"7-1997",346506
"8-1997",339122
"9-1997",333600
"10-1997",328657
"11-1997",307282
"12-1997",329335
"1-1998",319340
"2-1998",298711
"3-1998",329436
"4-1998",319758
"5-1998",330519
"6-1998",327091
"7-1998",348651
"8-1998",344736
"9-1998",343384
"10-1998",332790
"11-1998",313241
"12-1998",333896
"1-1999",319182
"2-1999",297568
"3-1999",332939
"4-1999",316889
"5-1999",328526
"6-1999",332201
"7-1999",349812
"8-1999",351371
"9-1999",349409
"10-1999",332980
"11-1999",315289
"12-1999",333251
"1-2000",330108
"2-2000",317377
"3-2000",340553
"4-2000",317180
"5-2000",341207
"6-2000",341206
"7-2000",348975
"8-2000",360080
"9-2000",347609
"10-2000",343921
"11-2000",333811
"12-2000",336787
"1-2001",335198
"2-2001",303534
"3-2001",338684
"4-2001",323613
"5-2001",344017
"6-2001",331085
"7-2001",351047
"8-2001",361802
"9-2001",342564
"10-2001",344074
"11-2001",323746
"12-2001",326569
"1-2002",330674
"2-2002",303977
"3-2002",331505
"4-2002",324432
"5-2002",339007
"6-2002",327588
"7-2002",357669
"8-2002",359417
"9-2002",348814
"10-2002",345814
"11-2002",318573
"12-2002",334256
"1-2003",315731
"2-2003",294026
"3-2003",322033
"4-2003",315525
"5-2003",331114
"6-2003",322097
"7-2003",347943
"8-2003",344573
"9-2003",344243
"10-2003",338733
"11-2003",306617
"12-2003",329151
"1-2004",318661
"2-2004",301853
"3-2004",330772
"4-2004",318200
"5-2004",322256
"6-2004",329332
"7-2004",343675
"8-2004",340150
"9-2004",340857
"10-2004",333713
"11-2004",321667
"12-2004",331336
"1-2005",317318
"2-2005",295998
"3-2005",333565
"4-2005",317561
"5-2005",330399
"6-2005",335206
"7-2005",341355
"8-2005",353228
"9-2005",347697
"10-2005",329836
"11-2005",321105
"12-2005",333319
"1-2006",325698
"2-2006",305472
"3-2006",341008
"4-2006",314750
"5-2006",338949
"6-2006",341884
"7-2006",351612
"8-2006",370881
"9-2006",358503
"10-2006",351308
"11-2006",336795
"12-2006",340876
"1-2007",339498
"2-2007",312544
"3-2007",344586
"4-2007",322728
"5-2007",345489
"6-2007",342184
"7-2007",362651
"8-2007",373161
"9-2007",350856
"10-2007",353187
"11-2007",338699
"12-2007",339001
"1-2008",340881
"2-2008",323131
"3-2008",334464
"4-2008",330277
"5-2008",338343
"6-2008",332382
"7-2008",358201
"8-2008",356496
"9-2008",351705
"10-2008",341755
"11-2008",309489
"12-2008",338449
"1-2009",322970
"2-2009",302399
"3-2009",331405
"4-2009",321409
"5-2009",328731
"6-2009",330637
"7-2009",351254
"8-2009",343063
"9-2009",345608
"10-2009",331806
"11-2009",305917
"12-2009",326161
"1-2010",308846
"2-2010",288355
"3-2010",322930
"4-2010",309541
"5-2010",312567
"6-2010",318820
"7-2010",329198
"8-2010",333829
"9-2010",334714
"10-2010",321907
"11-2010",311773
"12-2010",323854
"1-2011",306090
"2-2011",284436
"3-2011",314715
"4-2011",298431
"5-2011",311028
"6-2011",321093
"7-2011",329242
"8-2011",342850
"9-2011",329598
"10-2011",313550
"11-2011",307088
"12-2011",312567
"1-2012",301951
"2-2012",290568
"3-2012",308944
"4-2012",292182
"5-2012",314235
"6-2012",311706
"7-2012",331255
"8-2012",344369
"9-2012",324607
"10-2012",329634
"11-2012",310492
"12-2012",309741
"1-2013",308994
"2-2013",278307
"3-2013",305462
"4-2013",297011
"5-2013",313635
"6-2013",304497
